RouteUID,RouteID,RouteName_Zh,RouteName_En,Direction,CityCode
TXG1,1,1,1,0,TXG
TXG1,1,1,1,1,TXG
TXG1010,1010,綠美圖會展中心巡迴公車,Green Museumbrary T.I.C.E.C. Shuttle Bus,0,TXG
TXG1010,1010,綠美圖會展中心巡迴公車,Green Museumbrary T.I.C.E.C. Shuttle Bus,1,TXG
TXG151,151,151,151,0,TXG
TXG151,151,151,151,1,TXG
TXG1511,1511,151延,151E,0,TXG
TXG1511,1511,151延,151E,1,TXG
TXG152,152,152,152,0,TXG
TXG152,152,152,152,1,TXG
TXG1521,1521,152延,152E,0,TXG
TXG1522,1522,152區2,152S2,0,TXG
TXG1522,1522,152區2,152S2,1,TXG
TXG155,155,155,155,0,TXG
TXG155,155,155,155,1,TXG
TXG1551,1551,155副,155V,0,TXG
TXG1551,1551,155副,155V,1,TXG
TXG159,159,159,159,0,TXG
TXG159,159,159,159,1,TXG
TXG162,162,162,162,0,TXG
TXG162,162,162,162,1,TXG
TXG20,20,20,20,0,TXG
TXG20,20,20,20,1,TXG
TXG23,23,23,23,0,TXG
TXG23,23,23,23,1,TXG
TXG241,241,241,241,0,TXG
TXG241,241,241,241,1,TXG
TXG242,242,242,242,0,TXG
TXG242,242,242,242,1,TXG
TXG25,25,25,25,0,TXG
TXG25,25,25,25,1,TXG
TXG281,281,281,281,0,TXG
TXG281,281,281,281,1,TXG
TXG2811,2811,281延,281E,0,TXG
TXG2811,2811,281延,281E,1,TXG
TXG282,282,282,282,0,TXG
TXG282,282,282,282,1,TXG
TXG2821,2821,282副,282V,0,TXG
TXG2821,2821,282副,282V,1,TXG
TXG291,291,291,291,0,TXG
TXG291,291,291,291,1,TXG
TXG3,3,3,3,0,TXG
TXG3,3,3,3,1,TXG
TXG301,301,301,301,0,TXG
TXG301,301,301,301,1,TXG
TXG302,302,302,302,0,TXG
TXG302,302,302,302,1,TXG
TXG3021,3021,302延,302E,0,TXG
TXG3021,3021,302延,302E,1,TXG
TXG303,303,303,303,0,TXG
TXG303,303,303,303,1,TXG
TXG308,308,308,308,0,TXG
TXG308,308,308,308,1,TXG
TXG3081,3081,308副,308V,0,TXG
TXG3081,3081,308副,308V,1,TXG
TXG3082,3082,308副繞,308A,0,TXG
TXG326,326,326,326,0,TXG
TXG326,326,326,326,1,TXG
TXG3510,3510,351,351,0,TXG
TXG3510,3510,351,351,1,TXG
TXG3541,3541,354,354,0,TXG
TXG3541,3541,354,354,1,TXG
TXG37,37,37,37,0,TXG
TXG37,37,37,37,1,TXG
TXG4020,4020,綠2,G2,0,TXG
TXG4020,4020,綠2,G2,1,TXG
TXG4030,4030,綠3,G3,0,TXG
TXG4030,4030,綠3,G3,1,TXG
TXG4040,4040,綠4,G4,0,TXG
TXG4040,4040,綠4,G4,1,TXG
TXG4041,4041,綠4延,G4E,0,TXG
TXG4041,4041,綠4延,G4E,1,TXG
TXG50,50,50,50,0,TXG
TXG50,50,50,50,1,TXG
TXG56,56,56,56,0,TXG
TXG56,56,56,56,1,TXG
TXG5601,5601,56延,56E,0,TXG
TXG59,59,59,59,0,TXG
TXG59,59,59,59,1,TXG
TXG61,61,61,61,0,TXG
TXG61,61,61,61,1,TXG
TXG63,63,63,63,0,TXG
TXG63,63,63,63,1,TXG
TXG651,651,651,651,0,TXG
TXG651,651,651,651,1,TXG
TXG658,658,658,658,0,TXG
TXG658,658,658,658,1,TXG
TXG6581,6581,658副,658V,0,TXG
TXG6581,6581,658副,658V,1,TXG
TXG6750,6750,675,675,0,TXG
TXG6750,6750,675,675,1,TXG
TXG695,695,695,695,0,TXG
TXG695,695,695,695,1,TXG
TXG7000,7000,700,700,0,TXG
TXG7000,7000,700,700,1,TXG
TXG73,73,73,73,0,TXG
TXG73,73,73,73,1,TXG
TXG75,75,75,75,0,TXG
TXG75,75,75,75,1,TXG
TXG7501,7501,75副,75V,0,TXG
TXG7501,7501,75副,75V,1,TXG
TXG77,77,77,77,0,TXG
TXG77,77,77,77,1,TXG
TXG79,79,79,79,0,TXG
TXG79,79,79,79,1,TXG
TXG81,81,81,81,0,TXG
TXG81,81,81,81,1,TXG
TXG811,811,811,811,0,TXG
TXG811,811,811,811,1,TXG
TXG85,85,85,85,0,TXG
TXG85,85,85,85,1,TXG
TXG888,888,888,888,0,TXG
TXG888,888,888,888,1,TXG
TXG889,889,889,889,0,TXG
TXG889,889,889,889,1,TXG
TXG909,909,151區,151S,0,TXG
TXG909,909,151區,151S,1,TXG
TXG914,914,152區1,152S1,0,TXG
TXG914,914,152區1,152S1,1,TXG
TXG916,916,281副,281V,0,TXG
TXG916,916,281副,281V,1,TXG
TXG920,920,920,920,0,TXG
TXG920,920,920,920,1,TXG
TXG945,945,20區,20S,0,TXG
TXG945,945,20區,20S,1,TXG
TXG95,95,95,95,0,TXG
TXG95,95,95,95,1,TXG
TXG951,951,95副,95V,0,TXG
TXG951,951,95副,95V,1,TXG
TXG953,953,95區,95S,0,TXG
TXG953,953,95區,95S,1,TXG
TXG9561,9561,956副,956V,0,TXG
TXG9561,9561,956副,956V,1,TXG
TXG9580,9580,958,958,0,TXG
TXG9580,9580,958,958,1,TXG
TXG98,98,98,98,0,TXG
TXG98,98,98,98,1,TXG
TXG981,981,98繞,98A,0,TXG
TXG981,981,98繞,98A,1,TXG
TXG999,999,956,956,0,TXG
TXG999,999,956,956,1,TXG
TXG105,105,105,105,0,TXG
TXG105,105,105,105,1,TXG
TXG1051,1051,105副,105V,0,TXG
TXG1052,1052,105延,105E,0,TXG
TXG1052,1052,105延,105E,1,TXG
TXG123,123,123,123,0,TXG
TXG123,123,123,123,1,TXG
TXG19,19,19,19,0,TXG
TXG19,19,19,19,1,TXG
TXG21,21,21,21,0,TXG
TXG21,21,21,21,1,TXG
TXG283,283,283,283,0,TXG
TXG283,283,283,283,1,TXG
TXG30,30,30,30,0,TXG
TXG30,30,30,30,1,TXG
TXG3010,3010,30延,30E,0,TXG
TXG3010,3010,30延,30E,1,TXG
TXG3020,3020,30副,30V,0,TXG
TXG3020,3020,30副,30V,1,TXG
TXG32,32,32,32,0,TXG
TXG32,32,32,32,1,TXG
TXG352,352,352,352,0,TXG
TXG352,352,352,352,1,TXG
TXG3521,3521,352延,352E,0,TXG
TXG3521,3521,352延,352E,1,TXG
TXG355,355,355,355,0,TXG
TXG355,355,355,355,1,TXG
TXG358,358,358,358,0,TXG
TXG358,358,358,358,1,TXG
TXG361,361,361,361,0,TXG
TXG361,361,361,361,1,TXG
TXG4010,4010,綠1,G1,0,TXG
TXG4010,4010,綠1,G1,1,TXG
TXG45,45,45,45,0,TXG
TXG45,45,45,45,1,TXG
TXG451,451,45延,45E,0,TXG
TXG451,451,45延,45E,1,TXG
TXG459,459,45區,45S,0,TXG
TXG459,459,45區,45S,1,TXG
TXG460,460,45延1,45E1,0,TXG
TXG460,460,45延1,45E1,1,TXG
TXG52,52,52,52,0,TXG
TXG52,52,52,52,1,TXG
TXG5201,5201,52副,52V,0,TXG
TXG5201,5201,52副,52V,1,TXG
TXG525,525,525,525,0,TXG
TXG525,525,525,525,1,TXG
TXG529,529,529,529,0,TXG
TXG529,529,529,529,1,TXG
TXG67,67,67,67,0,TXG
TXG67,67,67,67,1,TXG
TXG681,681,68,68,0,TXG
TXG681,681,68,68,1,TXG
TXG74,74,74,74,0,TXG
TXG74,74,74,74,1,TXG
TXG813,813,813,813,0,TXG
TXG813,813,813,813,1,TXG
TXG8131,8131,813區1,813S1,0,TXG
TXG8131,8131,813區1,813S1,1,TXG
TXG83,83,83,83,0,TXG
TXG83,83,83,83,1,TXG
TXG88,88,88,88,0,TXG
TXG88,88,88,88,1,TXG
TXG89,89,89,89,0,TXG
TXG89,89,89,89,1,TXG
TXG912,912,21延1,21E1,0,TXG
TXG912,912,21延1,21E1,1,TXG
TXG913,913,21延2,21E2,0,TXG
TXG913,913,21延2,21E2,1,TXG
TXG9211,9211,921,921,0,TXG
TXG9211,9211,921,921,1,TXG
TXG933,933,105區2,105S2,0,TXG
TXG947,947,617,617,0,TXG
TXG947,947,617,617,1,TXG
TXG974,974,74繞,74A,0,TXG
TXG974,974,74繞,74A,1,TXG
TXG99,99,99,99,0,TXG
TXG99,99,99,99,1,TXG
TXG991,991,99延,99E,0,TXG
TXG991,991,99延,99E,1,TXG
TXG1000,1000,100,100,0,TXG
TXG1000,1000,100,100,1,TXG
TXG101,101,101,101,0,TXG
TXG101,101,101,101,1,TXG
TXG1010,1010,綠美圖會展中心巡迴公車,Green Museumbrary T.I.C.E.C. Shuttle Bus,0,TXG
TXG1010,1010,綠美圖會展中心巡迴公車,Green Museumbrary T.I.C.E.C. Shuttle Bus,1,TXG
TXG106,106,108區,108S,0,TXG
TXG106,106,108區,108S,1,TXG
TXG107,107,107,107,0,TXG
TXG107,107,107,107,1,TXG
TXG1071,1071,107延,107E,0,TXG
TXG1071,1071,107延,107E,1,TXG
TXG108,108,108,108,0,TXG
TXG108,108,108,108,1,TXG
TXG11,11,11,11,0,TXG
TXG11,11,11,11,1,TXG
TXG12,12,12,12,0,TXG
TXG12,12,12,12,1,TXG
TXG121,121,12延,12E,0,TXG
TXG121,121,12延,12E,1,TXG
TXG128,128,128,128,0,TXG
TXG128,128,128,128,1,TXG
TXG129,129,128區,128S,0,TXG
TXG131,131,131,131,0,TXG
TXG131,131,131,131,1,TXG
TXG132,132,132,132,0,TXG
TXG132,132,132,132,1,TXG
TXG133,133,133,133,0,TXG
TXG133,133,133,133,1,TXG
TXG14,14,14,14,0,TXG
TXG14,14,14,14,1,TXG
TXG141,141,14副,14V,0,TXG
TXG141,141,14副,14V,1,TXG
TXG1411,1411,14副2,14V2,0,TXG
TXG1411,1411,14副2,14V2,1,TXG
TXG142,142,142,142,0,TXG
TXG142,142,142,142,1,TXG
TXG144,144,14延,14E,0,TXG
TXG144,144,14延,14E,1,TXG
TXG15,15,15,15,0,TXG
TXG15,15,15,15,1,TXG
TXG154,154,154,154,0,TXG
TXG154,154,154,154,1,TXG
TXG1541,1541,154延,154E,0,TXG
TXG1541,1541,154延,154E,1,TXG
TXG156,156,156,156,0,TXG
TXG156,156,156,156,1,TXG
TXG157,157,157,157,0,TXG
TXG157,157,157,157,1,TXG
TXG1571,1571,157延,157E,0,TXG
TXG1571,1571,157延,157E,1,TXG
TXG1572,1572,157繞,157A,0,TXG
TXG1572,1572,157繞,157A,1,TXG
TXG163,163,163,163,0,TXG
TXG163,163,163,163,1,TXG
TXG2000,2000,200,200,0,TXG
TXG2000,2000,200,200,1,TXG
TXG2001,2001,200跳蛙公車,200J,0,TXG
TXG2001,2001,200跳蛙公車,200J,1,TXG
TXG243,243,243,243,0,TXG
TXG243,243,243,243,1,TXG
TXG245,245,245,245,0,TXG
TXG245,245,245,245,1,TXG
TXG2451,2451,245繞,245A,0,TXG
TXG2451,2451,245繞,245A,1,TXG
TXG248,248,248,248,0,TXG
TXG248,248,248,248,1,TXG
TXG26,26,26,26,0,TXG
TXG26,26,26,26,1,TXG
TXG27,27,27,27,0,TXG
TXG27,27,27,27,1,TXG
TXG28,28,28,28,0,TXG
TXG28,28,28,28,1,TXG
TXG284,284,284,284,0,TXG
TXG284,284,284,284,1,TXG
TXG29,29,29,29,0,TXG
TXG29,29,29,29,1,TXG
TXG290,290,290,290,0,TXG
TXG290,290,290,290,1,TXG
TXG2901,2901,290繞,290A,0,TXG
TXG2901,2901,290繞,290A,1,TXG
TXG300,300,300,300,0,TXG
TXG300,300,300,300,1,TXG
TXG304,304,304,304,0,TXG
TXG304,304,304,304,1,TXG
TXG307,307,307,307,0,TXG
TXG307,307,307,307,1,TXG
TXG309,309,309,309,0,TXG
TXG309,309,309,309,1,TXG
TXG310,310,310,310,0,TXG
TXG310,310,310,310,1,TXG
TXG323,323,323,323,0,TXG
TXG323,323,323,323,1,TXG
TXG324,324,324,324,0,TXG
TXG324,324,324,324,1,TXG
TXG3241,3241,324區,324S,0,TXG
TXG325,325,325,325,0,TXG
TXG325,325,325,325,1,TXG
TXG33,33,33,33,0,TXG
TXG33,33,33,33,1,TXG
TXG35,35,35,35,0,TXG
TXG35,35,35,35,1,TXG
TXG357,357,357,357,0,TXG
TXG357,357,357,357,1,TXG
TXG360,360,360,360,0,TXG
TXG360,360,360,360,1,TXG
TXG3601,3601,360副,360V,0,TXG
TXG3601,3601,360副,360V,1,TXG
TXG365,365,365,365,0,TXG
TXG365,365,365,365,1,TXG
TXG41,41,41,41,0,TXG
TXG41,41,41,41,1,TXG
TXG410,410,310區1,310S1,0,TXG
TXG410,410,310區1,310S1,1,TXG
TXG411,411,310區2,310S2,0,TXG
TXG411,411,310區2,310S2,1,TXG
TXG5000,5000,500,500,0,TXG
TXG5000,5000,500,500,1,TXG
TXG5001,5001,500跳蛙公車,500J,0,TXG
TXG5001,5001,500跳蛙公車,500J,1,TXG
TXG5002,5002,500延,500E,0,TXG
TXG5002,5002,500延,500E,1,TXG
TXG5003,5003,500延區1,500ES1,0,TXG
TXG5004,5004,500延區2,500ES2,0,TXG
TXG5005,5005,500延區3,500ES3,0,TXG
TXG54,54,54,54,0,TXG
TXG54,54,54,54,1,TXG
TXG6,6,6,6,0,TXG
TXG6,6,6,6,1,TXG
TXG60,60,60,60,0,TXG
TXG60,60,60,60,1,TXG
TXG601,601,6副,6V,0,TXG
TXG601,601,6副,6V,1,TXG
TXG657,657,657,657,0,TXG
TXG657,657,657,657,1,TXG
TXG659,659,659,659,0,TXG
TXG659,659,659,659,1,TXG
TXG6601,6601,66左環,66L,0,TXG
TXG6601,6601,66左環,66L,1,TXG
TXG6602,6602,66右環,66R,0,TXG
TXG6602,6602,66右環,66R,1,TXG
TXG6603,6603,66副左環,66VL,0,TXG
TXG6603,6603,66副左環,66VL,1,TXG
TXG6604,6604,66副右環,66VR,0,TXG
TXG6604,6604,66副右環,66VR,1,TXG
TXG6750,6750,675,675,0,TXG
TXG6750,6750,675,675,1,TXG
TXG69,69,69,69,0,TXG
TXG69,69,69,69,1,TXG
TXG70,70,70,70,0,TXG
TXG70,70,70,70,1,TXG
TXG7001,7001,700跳蛙公車,700J,0,TXG
TXG7001,7001,700跳蛙公車,700J,1,TXG
TXG72,72,72,72,0,TXG
TXG72,72,72,72,1,TXG
TXG8,8,8,8,0,TXG
TXG8,8,8,8,1,TXG
TXG811,811,811,811,0,TXG
TXG811,811,811,811,1,TXG
TXG82,82,82,82,0,TXG
TXG82,82,82,82,1,TXG
TXG901,901,901,901,0,TXG
TXG901,901,901,901,1,TXG
TXG9012,9012,901副2,901V,0,TXG
TXG9012,9012,901副2,901V,1,TXG
TXG907,907,307副,307V,0,TXG
TXG907,907,307副,307V,1,TXG
TXG910,910,901副,901V,0,TXG
TXG910,910,901副,901V,1,TXG
TXG924,924,70A,70A,0,TXG
TXG925,925,70B,70B,0,TXG
TXG93,93,93,93,0,TXG
TXG93,93,93,93,1,TXG
TXG97,97,97,97,0,TXG
TXG97,97,97,97,1,TXG
TXG971,971,97區,97S,0,TXG
TXG971,971,97區,97S,1,TXG
TXG982,982,82延,82E,0,TXG
TXG982,982,82延,82E,1,TXG
TXG127,127,127,127,0,TXG
TXG127,127,127,127,1,TXG
TXG1271,1271,127延,127E,0,TXG
TXG1271,1271,127延,127E,1,TXG
TXG164,164,164,164,0,TXG
TXG164,164,164,164,1,TXG
TXG165,165,165,165,0,TXG
TXG165,165,165,165,1,TXG
TXG178,178,178,178,0,TXG
TXG178,178,178,178,1,TXG
TXG179,179,179,179,0,TXG
TXG179,179,179,179,1,TXG
TXG180,180,180,180,0,TXG
TXG180,180,180,180,1,TXG
TXG300,300,300,300,0,TXG
TXG300,300,300,300,1,TXG
TXG305,305,305,305,0,TXG
TXG305,305,305,305,1,TXG
TXG306,306,306,306,0,TXG
TXG306,306,306,306,1,TXG
TXG309,309,309,309,0,TXG
TXG309,309,309,309,1,TXG
TXG310,310,310,310,0,TXG
TXG310,310,310,310,1,TXG
TXG328,328,328,328,0,TXG
TXG328,328,328,328,1,TXG
TXG3281,3281,328繞,328A,0,TXG
TXG3281,3281,328繞,328A,1,TXG
TXG353,353,353,353,0,TXG
TXG353,353,353,353,1,TXG
TXG368,368,368,368,0,TXG
TXG368,368,368,368,1,TXG
TXG410,410,310區1,310S1,0,TXG
TXG410,410,310區1,310S1,1,TXG
TXG411,411,310區2,310S2,0,TXG
TXG411,411,310區2,310S2,1,TXG
TXG528,528,528,528,0,TXG
TXG528,528,528,528,1,TXG
TXG675,675,677區,677S,0,TXG
TXG677,677,677,677,0,TXG
TXG677,677,677,677,1,TXG
TXG688,688,688,688,0,TXG
TXG688,688,688,688,1,TXG
TXG6881,6881,688副,688V,0,TXG
TXG6881,6881,688副,688V,1,TXG
TXG699,699,699,699,0,TXG
TXG699,699,699,699,1,TXG
TXG904,904,305W,305W,0,TXG
TXG905,905,305E,305E,0,TXG
TXG906,906,306W,306W,0,TXG
TXG908,908,306E,306E,0,TXG
TXG937,937,306繞,306A,0,TXG
TXG937,937,306繞,306A,1,TXG
TXG938,938,305區,305S,0,TXG
TXG938,938,305區,305S,1,TXG
TXG11,11,11,11,0,TXG
TXG11,11,11,11,1,TXG
TXG12,12,12,12,0,TXG
TXG12,12,12,12,1,TXG
TXG121,121,12延,12E,0,TXG
TXG121,121,12延,12E,1,TXG
TXG158,158,158,158,0,TXG
TXG158,158,158,158,1,TXG
TXG249,249,249,249,0,TXG
TXG249,249,249,249,1,TXG
TXG465,465,65延,65E,0,TXG
TXG465,465,65延,65E,1,TXG
TXG467,467,65繞,65A,0,TXG
TXG467,467,65繞,65A,1,TXG
TXG468,468,65副,65V,0,TXG
TXG468,468,65副,65V,1,TXG
TXG5,5,5,5,0,TXG
TXG5,5,5,5,1,TXG
TXG58,58,58,58,0,TXG
TXG58,58,58,58,1,TXG
TXG583,583,58副,58V,0,TXG
TXG583,583,58副,58V,1,TXG
TXG65,65,65,65,0,TXG
TXG65,65,65,65,1,TXG
TXG7001,7001,700跳蛙公車,700J,0,TXG
TXG7001,7001,700跳蛙公車,700J,1,TXG
TXG9221,9221,922,922,0,TXG
TXG9221,9221,922,922,1,TXG
TXG160,160,160,160,0,TXG
TXG160,160,160,160,1,TXG
TXG1601,1601,160副,160V,0,TXG
TXG1601,1601,160副,160V,1,TXG
TXG161,161,161,161,0,TXG
TXG161,161,161,161,1,TXG
TXG1611,1611,161副,161V,0,TXG
TXG1611,1611,161副,161V,1,TXG
TXG17,17,17,17,0,TXG
TXG17,17,17,17,1,TXG
TXG285,285,285,285,0,TXG
TXG285,285,285,285,1,TXG
TXG2851,2851,285副,285V,0,TXG
TXG2851,2851,285副,285V,1,TXG
TXG616,616,616,616,0,TXG
TXG616,616,616,616,1,TXG
TXG668,668,668,668,0,TXG
TXG668,668,668,668,1,TXG
TXG7,7,7,7,0,TXG
TXG7,7,7,7,1,TXG
TXG39,39,39,39,0,TXG
TXG39,39,39,39,1,TXG
TXG661,661,661,661,0,TXG
TXG661,661,661,661,1,TXG
TXG662,662,662,662,0,TXG
TXG662,662,662,662,1,TXG
TXG839,839,839,839,0,TXG
TXG839,839,839,839,1,TXG
TXG181,181,181,181,0,TXG
TXG181,181,181,181,1,TXG
TXG1811,1811,181區1,181S1,0,TXG
TXG1811,1811,181區1,181S1,1,TXG
TXG1812,1812,181區2,181S2,0,TXG
TXG1812,1812,181區2,181S2,1,TXG
TXG289,289,289,289,0,TXG
TXG289,289,289,289,1,TXG
TXG86,86,86,86,0,TXG
TXG86,86,86,86,1,TXG
TXG861,861,86E,86E,0,TXG
TXG862,862,86W,86W,0,TXG
